id,name,description,ruling,reason,variations
tara-gum,Tara Gum,A galactomannan polysaccharide obtained from the endosperm of Tara tree seeds (Caesalpinia spinosa). It functions as a thickener and stabilizer in food.,halal,"Tara gum is derived from plant seeds and does not contain any animal derivatives, and is considered halal.","['tara-gum', 'e417']"
karaya-gum,Karaya Gum,"A vegetable gum obtained from the Sterculia urens tree. It is used as a thickener, emulsifier, and stabilizer in food products.",halal,"Karaya gum is a plant-based exudate and does not contain any animal derivatives, and is considered halal.","['karaya-gum', 'e416']"
mannitol,Mannitol,"A sugar alcohol used as a sweetener, texturizer, and humectant in foods and pharmaceuticals.",halal,"Mannitol is a sugar alcohol that can be derived from natural sources like seaweed or produced synthetically. It does not contain any animal derivatives, and is considered halal.","['mannitol', 'e421']"
gum-arabic,Gum Arabic,A natural gum consisting of hardened sap of various species of the acacia tree. It is used primarily in the food industry as a stabilizer.,halal,"Gum arabic is a plant-based exudate and does not contain any animal derivatives, and is considered halal.","['gum-arabic', 'e419']"
tragacanth-gum,Tragacanth Gum,"A natural gum obtained from the dried sap of several species of Middle Eastern legumes of the genus Astragalus. It is used as a thickener, stabilizer, and emulsifier.",halal,"Tragacanth gum is a plant-based exudate and does not contain any animal derivatives, and is considered halal.","['tragacanth-gum', 'e413']"
konjac-gum,Konjac Gum,"A water-soluble dietary fiber derived from the konjac plant. It is used as a thickener, stabilizer, and gelling agent in various food products.",halal,Konjac gum is derived from a plant source and does not contain any haram substances.,"['e425', 'konjac gum', 'konjac flour', 'konjac mannan']"
polyoxyethylene-40-stearate,Polyoxyethylene (40) Stearate,A synthetic polymer used as an emulsifier and stabilizer in food and cosmetic products.,uncertain,"Stearate can be derived from both plant and animal sources. If it is derived from non-halal animal sources, it would be considered haram.","['e431', 'polyoxyethylene (40) stearate', 'polyoxyethylene-40-stearate', 'polyoxyethylene 40 stearate']"
polyoxyethylene-20-stearate,Polyoxyethylene (20) Stearate,A synthetic polymer used as an emulsifier and stabilizer in food and cosmetic products.,uncertain,"Stearate can be derived from both plant and animal sources. If it is derived from non-halal animal sources, it would be considered haram.","['e430', 'polyoxyethylene (20) stearate', 'polyoxyethylene-20-stearate', 'polyoxyethylene 20 stearate']"
polyoxyethylene-sorbitan-monolaurate,Polyoxyethylene Sorbitan Monolaurate,"A nonionic surfactant and emulsifier used in foods, cosmetics, and pharmaceuticals.",uncertain,"It contains fatty acids, which can be of animal or plant origin. If of animal origin, it must be halal slaughtered animals.","['e432', 'polyoxyethylene sorbitan monolaurate', 'polysorbate 20', 'polyoxyethylene (20) sorbitan monolaurate']"
vegetable-gums,Vegetable Gums,"Various gums derived from plant sources, used as thickening or gelling agents.",halal,"If the source is purely vegetable, then it is halal.","['e427', 'vegetable gums']"
glycerol,Glycerol,"A simple polyol compound. It is a colorless, odorless, viscous liquid that is sweet-tasting and non-toxic.",uncertain,"Glycerol can be derived from both plant and animal sources. If it is derived from non-halal animal sources, it would be considered haram.","['e426', 'glycerol', 'glycerine']"
polyoxyethylene-sorbitan-monooleate,Polyoxyethylene Sorbitan Monooleate,"A nonionic surfactant and emulsifier used in foods, cosmetics, and pharmaceuticals.",uncertain,"It contains fatty acids, which can be of animal or plant origin. If of animal origin, it must be halal slaughtered animals.","['e433', 'polyoxyethylene sorbitan monooleate', 'polysorbate 80', 'polyoxyethylene (20) sorbitan monooleate']"
l-lactic-acid,L-Lactic Acid,"An organic acid produced by fermentation. It is used as a preservative, flavoring agent, and pH regulator in food products.",uncertain,"Lactic acid can be produced from both halal and haram sources. Without knowing the source, it is uncertain.","['e429', 'l-lactic acid', 'lactic acid']"
e444,Sucrose Acetate Isobutyrate,"A food additive used as an emulsifier and stabilizer, particularly in beverages.",uncertain,The halal status of E444 is uncertain due to potential use of non-halal processing aids or ingredients during manufacturing.,"['e444', 'sucrose acetate isobutyrate', 'saib']"
e445,Glycerol Ester of Wood Rosin,A food additive used as a stabilizer in beverages.,uncertain,"The source of glycerol and wood rosin needs to be halal. If they are not certified halal, then it is uncertain.","['e445', 'glycerol ester of wood rosin', 'glycerol ester of gum rosin']"
e434,Polysorbate 80,"A nonionic surfactant and emulsifier used in foods, pharmaceuticals, and cosmetics.",uncertain,"The source of fatty acids (oleic acid) used to produce Polysorbate 80 can be of animal or plant origin. If animal source is used, it must be halal slaughtered animal.","['e434', 'polysorbate 80', 'polyoxyethylene (20) sorbitan monooleate']"
e446,Microcrystalline Wax,"A purified mixture of solid, saturated hydrocarbons, mainly used as a food glazing agent.",uncertain,Halal status is uncertain due to lack of information on the manufacturing process and potential cross-contamination with non-halal substances.,"['e446', 'microcrystalline wax']"
pectin,Pectin,"A naturally occurring polysaccharide found in fruits, used as a gelling agent, thickener, and stabilizer in food products.",halal,"Pectin is derived from plant sources, typically citrus fruits or apples, and does not contain any animal-derived ingredients or haram substances.","['pectin', 'e440']"
e443,Brominated Vegetable Oil,Used as an emulsifier in citrus-flavored drinks.,uncertain,Halal status is uncertain due to concerns about the source and processing of the vegetable oil and the bromination process.,"['e443', 'brominated vegetable oil', 'bvo']"
e435,Polysorbate 60,An emulsifier used in a variety of food products.,uncertain,"The source of fatty acids (stearic acid) used to produce Polysorbate 60 can be of animal or plant origin. If animal source is used, it must be halal slaughtered animal.","['e435', 'polysorbate 60', 'polyoxyethylene (20) sorbitan monostearate']"
e436,Polysorbate 65,An emulsifier used in a variety of food products.,uncertain,"The source of fatty acids (tristearate) used to produce Polysorbate 65 can be of animal or plant origin. If animal source is used, it must be halal slaughtered animal.","['e436', 'polysorbate 65', 'polyoxyethylene (20) sorbitan tristearate']"
e442,Ammonium Phosphatides,"An emulsifier, mainly used in chocolate and cocoa products.",uncertain,The halal status of E442 is uncertain due to the possibility of the source of the ingredients being non-halal.,"['e442', 'ammonium phosphatides']"
e462,Ethylcellulose,"A cellulose derivative used as a coating agent, binder, and thickener in various food and pharmaceutical products.",halal,"Ethylcellulose is derived from cellulose, a natural polymer obtained from plant cell walls. The ethylation process does not introduce any haram substances, making it halal.","['e462', 'ethyl cellulose']"
e463,Hydroxypropylcellulose,"A cellulose ether used as a thickener, binder, and stabilizer in food, pharmaceutical, and cosmetic products.",halal,"Hydroxypropylcellulose is derived from cellulose, a natural polymer obtained from plant cell walls. The hydroxypropylation process does not introduce any haram substances, making it halal.","['e463', 'hydroxypropyl cellulose', 'HPC']"
e461,Methylcellulose,A chemical compound derived from cellulose. It is a hydrophilic white powder in pure form and dissolves in cold water to form a clear viscous solution or gel.,halal,"Methylcellulose is a cellulose derivative. Cellulose is a natural polymer obtained from plant cell walls. The methylation process does not introduce any haram substances, making it halal.","['e461', 'methyl cellulose', 'MC']"
e465,Ethyl Methyl Cellulose,"A cellulose derivative used as a thickener, emulsifier, and stabilizer in food products.",halal,"Ethyl methyl cellulose is derived from cellulose, a natural polymer obtained from plant cell walls. The ethylation and methylation processes do not introduce any haram substances, making it halal.","['e465', 'ethyl methyl cellulose', 'EMC']"
e459,Beta-Cyclodextrin,"A cyclic oligosaccharide used as a food additive to encapsulate and stabilize flavors, fragrances, and other ingredients.",halal,"Beta-cyclodextrin is typically produced from starch through enzymatic conversion. Since the process does not involve haram substances, it is considered halal unless contaminated with unlawful ingredients.","['e459', 'beta-cyclodextrin']"
e452,Polyphosphates,"A group of food additives used as emulsifiers, stabilizers, and water retention agents in processed foods.",halal,Polyphosphates are generally considered halal as they are inorganic salts derived from phosphoric acid. The manufacturing process does not involve any haram substances.,"['e452', 'polyphosphates', 'sodium polyphosphate', 'potassium polyphosphate', 'calcium polyphosphate']"
e464,Hydroxypropyl Methylcellulose,"A cellulose ether used as a thickener, binder, and film-forming agent in food, pharmaceutical, and cosmetic products.",halal,"Hydroxypropyl methylcellulose is derived from cellulose, a natural polymer obtained from plant cell walls. The hydroxypropylation and methylation processes do not introduce any haram substances, making it halal.","['e464', 'hydroxypropyl methylcellulose', 'HPMC']"
e469,Sodium Caseinate,"A protein derived from milk, used as an emulsifier, stabilizer, or thickener in various food products.",halal,"Sodium caseinate is derived from milk, which is considered halal. As long as the production process does not involve any haram substances, it is permissible.","['e469', 'sodium caseinate']"
e468,Cross-linked Sodium Carboxymethylcellulose,"A modified cellulose gum used as a stabilizer, thickener, and binder in food products.",halal,E468 is a cellulose derivative and is generally considered halal unless produced using haram substances.,"['e468', 'cross-linked sodium carboxymethylcellulose', 'crosslinked sodium carboxymethyl cellulose']"
e470b,Magnesium Salts of Fatty Acids,"A food additive used as an emulsifier, anti-caking agent, or release agent.",uncertain,"Fatty acids can be derived from both plant and animal sources. If the source is halal-slaughtered animal or plant-based, it is halal. If it is from non-halal animals, it is haram. Without knowing the source, it is uncertain.","['e470b', 'magnesium salts of fatty acids']"
e467,Ethyl Hydroxyethyl Cellulose,"A cellulose derivative used as a thickener, binder, and stabilizer in food products.",halal,E467 is a cellulose derivative and is generally considered halal unless produced using haram substances.,"['e467', 'ethyl hydroxyethyl cellulose']"
e471,Mono- and Diglycerides of Fatty Acids,A food additive used as an emulsifier.,uncertain,"Mono- and diglycerides can be derived from both plant and animal sources. If the source is halal-slaughtered animal or plant-based, it is halal. If it is from non-halal animals, it is haram. Without knowing the source, it is uncertain.","['e471', 'mono- and diglycerides of fatty acids', 'mono and diglycerides of fatty acids', 'glycerides']"
e470,Salts of Fatty Acids,"A food additive used as an emulsifier, anti-caking agent, or release agent.",uncertain,"Fatty acids can be derived from both plant and animal sources. If the source is halal-slaughtered animal or plant-based, it is halal. If it is from non-halal animals, it is haram. Without knowing the source, it is uncertain.","['e470', 'salts of fatty acids', 'sodium, potassium, calcium and magnesium salts of fatty acids']"
e475,Polyglycerol esters of fatty acids,Emulsifier consisting of polyglycerol esters with fatty acids. The fatty acids can be from either plant or animal sources.,uncertain,"The halal status depends on the source of the fatty acids. If they are from halal-slaughtered animals or vegetable sources, it is halal. If from non-halal animals, it is haram. Without knowing the source, it is uncertain.","['e475', 'polyglycerol esters of fatty acids']"
e474,Sucroglycerides,Emulsifier made from sugar and fats or oils.,uncertain,"The halal status depends on the source of the fats or oils. If they are from halal-slaughtered animals or vegetable sources, it is halal. If from non-halal animals, it is haram. Without knowing the source, it is uncertain.","['e474', 'sucroglycerides']"
e476,Polyglycerol polyricinoleate,"Emulsifier made from glycerol, ricinoleic acid (from castor beans), and fatty acids.",uncertain,"The halal status depends on the source of the fatty acids. If they are from halal-slaughtered animals or vegetable sources, it is halal. If from non-halal animals, it is haram. Without knowing the source, it is uncertain. However, most sources indicate that it is plant-derived.","['e476', 'polyglycerol polyricinoleate', 'pgpr']"
e473,Sucrose esters of fatty acids,Emulsifier made from sucrose and fatty acids.,uncertain,"The halal status depends on the source of the fatty acids. If they are from halal-slaughtered animals or vegetable sources, it is halal. If from non-halal animals, it is haram. Without knowing the source, it is uncertain.","['e473', 'sucrose esters of fatty acids']"
e480,Sodium Stearoyl Lactylate,An emulsifier and dough conditioner used in the food industry.,uncertain,"It can be derived from both plant-based and animal-based sources. If it is derived from plant-based sources, it is halal. If it is derived from animal-based sources, the animal must be halal and slaughtered according to Islamic guidelines for it to be halal.","['e480', 'sodium stearoyl lactylate']"
e485,Sodium Stearoyl Fumarate,A dough strengthener and emulsifier used in bakery products.,uncertain,"It can be derived from both plant-based and animal-based sources. If it is derived from plant-based sources, it is halal. If it is derived from animal-based sources, the animal must be halal and slaughtered according to Islamic guidelines for it to be halal.","['e485', 'sodium stearoyl fumarate']"
e482,Calcium Stearoyl Lactylate,An emulsifier and dough conditioner used in the food industry.,uncertain,"It can be derived from both plant-based and animal-based sources. If it is derived from plant-based sources, it is halal. If it is derived from animal-based sources, the animal must be halal and slaughtered according to Islamic guidelines for it to be halal.","['e482', 'calcium stearoyl lactylate']"
e478,"Lactylated fatty acid esters of glycerol and propane-1,2-diol",An emulsifier used in the food industry.,uncertain,"It can be derived from both plant-based and animal-based sources. If it is derived from plant-based sources, it is halal. If it is derived from animal-based sources, the animal must be halal and slaughtered according to Islamic guidelines for it to be halal.","['e478', 'lactylated fatty acid esters of glycerol and propane-1,2-diol']"
e479,Thermally Oxidized Soybean Oil Interacted with Mono- and Diglycerides of Fatty Acids,An emulsifier used in the food industry.,uncertain,"The halal status depends on the source of mono- and diglycerides. If they are derived from plant-based sources, it is halal. If they are derived from animal-based sources, the animal must be halal and slaughtered according to Islamic guidelines for it to be halal.","['e479', 'thermally oxidized soybean oil interacted with mono- and diglycerides of fatty acids']"
e484,Stearyl Tartrate,An emulsifier used in the food industry.,uncertain,"It can be derived from both plant-based and animal-based sources. If it is derived from plant-based sources, it is halal. If it is derived from animal-based sources, the animal must be halal and slaughtered according to Islamic guidelines for it to be halal.","['e484', 'stearyl tartrate']"
e477,"Propane-1, 2-diol esters of fatty acids",An emulsifier used in the food industry.,uncertain,"It can be derived from both plant-based and animal-based sources. If it is derived from plant-based sources, it is halal. If it is derived from animal-based sources, the animal must be halal and slaughtered according to Islamic guidelines for it to be halal.","['e477', 'propane-1, 2-diol esters of fatty acids']"
e483,Stearyl Tartrate,An emulsifier used in the food industry.,uncertain,"It can be derived from both plant-based and animal-based sources. If it is derived from plant-based sources, it is halal. If it is derived from animal-based sources, the animal must be halal and slaughtered according to Islamic guidelines for it to be halal.","['e483', 'stearyl tartrate']"
sorbitan-monostearate,Sorbitan Monostearate,"A nonionic surfactant and emulsifier used in foods, cosmetics, and pharmaceuticals.",uncertain,"It can be derived from both plant-based and animal-based sources. If it is derived from plant-based sources, it is halal. If it is derived from non-halal animal sources, it is haram.","['sorbitan monostearate', 'e491']"
sorbitan-monolaurate,Sorbitan Monolaurate,"A nonionic surfactant and emulsifier used in foods, cosmetics, and pharmaceuticals.",uncertain,"It can be derived from both plant-based and animal-based sources. If it is derived from plant-based sources, it is halal. If it is derived from non-halal animal sources, it is haram.","['sorbitan monolaurate', 'e493']"
sorbitan-tristearate,Sorbitan Tristearate,"A nonionic surfactant and emulsifier used in foods, cosmetics, and pharmaceuticals.",uncertain,"It can be derived from both plant-based and animal-based sources. If it is derived from plant-based sources, it is halal. If it is derived from non-halal animal sources, it is haram.","['sorbitan tristearate', 'e492']"
polyoxyethylene-20-sorbitan-monostearate,Polyoxyethylene (20) Sorbitan Monostearate,"A nonionic surfactant and emulsifier used in foods, cosmetics, and pharmaceuticals.",uncertain,"It can be derived from both plant-based and animal-based sources. If it is derived from plant-based sources, it is halal. If it is derived from non-halal animal sources, it is haram.","['polyoxyethylene (20) sorbitan monostearate', 'e495', 'polysorbate 60']"
sorbitan-monooleate,Sorbitan Monooleate,"A nonionic surfactant and emulsifier used in foods, cosmetics, and pharmaceuticals.",uncertain,"It can be derived from both plant-based and animal-based sources. If it is derived from plant-based sources, it is halal. If it is derived from non-halal animal sources, it is haram.","['sorbitan monooleate', 'e494']"
e505,Potassium Carbonates,"Potassium carbonates are salts of carbonic acid with potassium ions. They are used as acidity regulators, stabilizers, and raising agents in food products.",halal,Potassium carbonates are generally considered halal as they are produced from minerals and do not contain any haram substances.,"['e505', 'potassium carbonate', 'potassium bicarbonate', 'potash']"
e496,Sorbitan Trioleate,A mixture of partial esters of sorbitol and its mono- and dianhydrides with oleic acid.,uncertain,"The halal status of sorbitan trioleate depends on the source of the oleic acid. If the oleic acid is derived from plant-based sources, it is halal. If it is derived from animal sources, its halal status depends on whether the animal was halal and slaughtered according to Islamic guidelines.","['e496', 'sorbitan trioleate']"
e499,Sorbitan Monooleate Ethoxylated,Ethoxylated sorbitan monooleate is a nonionic surfactant and emulsifier. It is a polyethylene glycol ether of sorbitan monooleate.,uncertain,"The halal status of ethoxylated sorbitan monooleate depends on the source of the sorbitan monooleate. If the sorbitan monooleate is derived from plant-based sources, it is halal. If it is derived from animal sources, its halal status depends on whether the animal was halal and slaughtered according to Islamic guidelines.","['e499', 'sorbitan monooleate ethoxylated']"
e497,Sorbitan Monooleate Ethoxylated,Ethoxylated sorbitan monooleate is a nonionic surfactant and emulsifier. It is a polyethylene glycol ether of sorbitan monooleate.,uncertain,"The halal status of ethoxylated sorbitan monooleate depends on the source of the sorbitan monooleate. If the sorbitan monooleate is derived from plant-based sources, it is halal. If it is derived from animal sources, its halal status depends on whether the animal was halal and slaughtered according to Islamic guidelines.","['e497', 'sorbitan monooleate ethoxylated']"
e502,Potassium Carbonate,"Potassium carbonate is a salt used as a food additive for various purposes, including as a raising agent, stabilizer, and acidity regulator.",halal,Potassium carbonate is generally considered halal as it is produced from minerals and does not contain any haram substances.,"['e502', 'potassium carbonate', 'potassium bicarbonate']"
e504,Magnesium Carbonate,"Magnesium carbonate is a chemical compound used in food as an anti-caking agent, color retention agent, and carrier.",halal,Magnesium carbonate is generally considered halal as it is produced from minerals and does not contain any haram substances.,"['e504', 'magnesium carbonate', 'hydromagnesite']"
e498,Sorbitan Monostearate Ethoxylated,Ethoxylated sorbitan monostearate is a nonionic surfactant and emulsifier. It is a polyethylene glycol ether of sorbitan monostearate.,uncertain,"The halal status of ethoxylated sorbitan monostearate depends on the source of the sorbitan monostearate. If the sorbitan monostearate is derived from plant-based sources, it is halal. If it is derived from animal sources, its halal status depends on whether the animal was halal and slaughtered according to Islamic guidelines.","['e498', 'sorbitan monostearate ethoxylated']"
e501,Potassium Carbonates,"Potassium carbonates are salts of carbonic acid with potassium ions. They are used as acidity regulators, stabilizers, and raising agents in food products.",halal,Potassium carbonates are generally considered halal as they are produced from minerals and do not contain any haram substances.,"['e501', 'potassium carbonate', 'potassium bicarbonate']"
e500,Sodium Carbonates,"Sodium carbonates are salts of carbonic acid with sodium ions. They are used as acidity regulators, raising agents, and stabilizers in food products.",halal,Sodium carbonates are generally considered halal as they are produced from minerals and do not contain any haram substances.,"['e500', 'sodium carbonate', 'sodium bicarbonate', 'baking soda', 'washing soda']"
magnesium-chloride,Magnesium Chloride,"A chemical compound and a source of magnesium. It is used in various applications, including food production as a firming agent.",halal,Magnesium chloride is generally considered halal as it is a mineral salt and does not contain any haram substances.,"['magnesium chloride', 'e511']"
potassium-chloride,Potassium Chloride,"A metal halide salt composed of potassium and chloride. It is used in medicine, scientific applications, and food processing as a salt substitute.",halal,Potassium chloride is generally considered halal as it is a mineral salt and does not contain any haram substances.,"['potassium chloride', 'e508']"
ferrous-chloride,Ferrous Chloride,A chemical compound composed of iron and chlorine. It is used in various industrial applications.,uncertain,The Halal status of Ferrous Chloride is uncertain because the source of the iron used in its production needs to be verified to ensure it does not come from any non-halal source.,"['ferrous chloride', 'e506', 'iron(II) chloride']"
sodium-sulfate,Sodium Sulfate,A chemical compound used in the manufacturing of detergents and in the Kraft process of paper pulping.,halal,Sodium sulfate is generally considered halal as it is a mineral salt and does not contain any haram substances.,"['sodium sulfate', 'e514']"
potassium-sulfate,Potassium Sulfate,A non-flammable white crystalline salt used in fertilizers and as a food additive.,halal,Potassium sulfate is generally considered halal as it is a mineral salt and does not contain any haram substances.,"['potassium sulfate', 'e515']"
stannous-chloride,Stannous Chloride,A white crystalline solid used as a reducing agent and mordant. It may also be used as a food additive.,uncertain,The Halal status of Stannous Chloride is uncertain because the source of the tin used in its production needs to be verified to ensure it does not come from any non-halal source.,"['stannous chloride', 'e512', 'tin(II) chloride']"
hydrochloric-acid,Hydrochloric Acid,"A strong, corrosive acid used in many industrial processes.",halal,Hydrochloric acid is generally considered halal as it is a mineral acid and does not contain any haram substances.,"['hydrochloric acid', 'e507']"
sulfuric-acid,Sulfuric Acid,A highly corrosive strong mineral acid with numerous industrial applications.,halal,Sulfuric acid is generally considered halal as it is a mineral acid and does not contain any haram substances.,"['sulfuric acid', 'e513']"
e525,Potassium Hydroxide,A strong alkaline compound used as a pH regulator and stabilizer in food processing.,halal,Potassium hydroxide is generally considered halal as it is a synthetic chemical and does not contain any animal-derived ingredients.,"['e525', 'potassium hydroxide']"
e518,Magnesium Sulfate,"A chemical compound containing magnesium, sulfur and oxygen. It is used in food as a firming agent and flavor enhancer.",halal,Magnesium sulfate is generally considered halal as it is a naturally occurring mineral salt and does not contain any animal-derived ingredients.,"['e518', 'magnesium sulfate', 'epsom salt']"
e522,Aluminum Potassium Sulfate,A chemical compound commonly used as a firming agent in pickled foods.,halal,Aluminum potassium sulfate is generally considered halal as it is a mineral salt and does not contain any animal-derived ingredients.,"['e522', 'aluminum potassium sulfate', 'potash alum']"
e523,Ammonium Aluminum Sulfate,A chemical compound used as a firming agent and acidity regulator in food products.,halal,Ammonium aluminum sulfate is generally considered halal as it is a mineral salt and does not contain any animal-derived ingredients.,"['e523', 'ammonium aluminum sulfate', 'ammonium alum']"
e520,Aluminum Sulfate,"A chemical compound used as a firming agent, acidity regulator, and mordant in food processing.",halal,Aluminum sulfate is generally considered halal as it is a mineral salt and does not contain any animal-derived ingredients.,"['e520', 'aluminum sulfate']"
e519,Copper(II) Sulfate,A chemical compound used as a preservative and antimicrobial agent in food and agriculture.,uncertain,"While Copper(II) Sulfate is a chemical compound and not typically derived from animal sources, its use in food products may be subject to specific regulations and concerns. It is better to confirm its permissibility from a trusted Islamic scholar.","['e519', 'copper(ii) sulfate', 'cupric sulfate']"
e516,Calcium Sulfate,"A chemical compound used as a firming agent, flour treatment agent, and dough strengthener in food production.",halal,Calcium sulfate is generally considered halal as it is a mineral salt and does not contain any animal-derived ingredients.,"['e516', 'calcium sulfate', 'gypsum']"
e517,Ammonium Sulfate,A chemical compound used as a dough strengthener and acidity regulator in food processing.,halal,Ammonium sulfate is generally considered halal as it is a synthetic chemical and does not contain any animal-derived ingredients.,"['e517', 'ammonium sulfate']"
e521,Sodium Aluminum Sulfate,A chemical compound used as a firming agent and acidity regulator in food products.,halal,Sodium aluminum sulfate is generally considered halal as it is a mineral salt and does not contain any animal-derived ingredients.,"['e521', 'sodium aluminum sulfate', 'sas']"
e524,Sodium Hydroxide,A strong alkaline compound used as a pH regulator and stabilizer in food processing.,halal,Sodium hydroxide is generally considered halal as it is a synthetic chemical and does not contain any animal-derived ingredients.,"['e524', 'sodium hydroxide', 'caustic soda']"
e528,Potassium Lactate,"A potassium salt of lactic acid, used as a preservative and acidity regulator in food products.",halal,"Potassium lactate is generally considered halal as it is produced by the fermentation of sugar, which is a halal process. The potassium source is also halal.","['e528', 'potassium lactate']"
e531,Magnesium Lactate,"A magnesium salt of lactic acid, used as a acidity regulator and source of magnesium.",halal,"Magnesium lactate is generally considered halal as it is produced by the fermentation of sugar, which is a halal process. The magnesium source is also halal.","['e531', 'magnesium lactate']"
e535,Sodium Ferrocyanide,An anticaking agent used in table salt.,halal,Sodium ferrocyanide is a synthetic compound and is considered halal as it does not contain any animal products or non-halal substances.,"['e535', 'sodium ferrocyanide']"
e533,Sodium Orthosilicate,Used as a food additive.,uncertain,The halal status of sodium orthosilicate is uncertain due to limited information about its production process and potential sources of contamination.,"['e533', 'sodium orthosilicate']"
e530,Magnesium Oxide,"Used as an anticaking agent, acidity regulator, and color retention agent.",halal,Magnesium oxide is a mineral-derived compound and is considered halal as it does not contain any animal products or non-halal substances.,"['e530', 'magnesium oxide']"
e536,Potassium Ferrocyanide,An anticaking agent used in table salt.,halal,Potassium ferrocyanide is a synthetic compound and is considered halal as it does not contain any animal products or non-halal substances.,"['e536', 'potassium ferrocyanide']"
e529,Calcium Lactate,"A calcium salt of lactic acid, used as a firming agent, flavor enhancer, and acidity regulator.",halal,"Calcium lactate is generally considered halal as it is produced by the fermentation of sugar, which is a halal process. The calcium source is also halal.","['e529', 'calcium lactate']"
e532,Manganese Carbonate,Used as a food additive.,uncertain,The halal status of manganese carbonate is uncertain due to limited information about its production process and potential sources of contamination.,"['e532', 'manganese carbonate']"
e526,Calcium Hydroxide,"Used as a firming agent, acidity regulator, and neutralizer.",halal,Calcium hydroxide is a mineral-derived compound and is considered halal as it does not contain any animal products or non-halal substances.,"['e526', 'calcium hydroxide']"
e539,Sodium Thiosulphate,"A chemical compound used in photography, medicine, and as a food additive.",halal,Sodium thiosulphate is generally considered halal as it is a chemical compound and its production does not involve any haram substances.,"['e539', 'sodium thiosulphate', 'sodium thiosulfate']"
e544,Calcium Phosphate,"A calcium salt of phosphoric acid. It is used as an acidity regulator, anticaking agent, and stabilizer.",halal,Calcium phosphate is generally considered halal as it is a mineral salt and its production does not involve any haram substances.,"['e544', 'calcium phosphate']"
e540,Dicalcium Pyrophosphate,"A food additive used as a buffering agent, a leavening agent, and a source of calcium.",halal,Dicalcium pyrophosphate is generally considered halal as it is a mineral salt and its production does not involve any haram substances.,"['e540', 'dicalcium pyrophosphate']"
e538,Calcium Ferrocyanide,An anticaking agent used in the food industry to prevent clumping.,halal,Calcium ferrocyanide is generally considered halal as it is a synthetic compound and its production does not involve any haram substances.,"['e538', 'calcium ferrocyanide']"
e543,"Sodium Aluminium Phosphate, acidic",A food additive used as a leavening agent and acidity regulator.,halal,Sodium aluminium phosphate is generally considered halal as it is a mineral salt and its production does not involve any haram substances.,"['e543', 'sodium aluminium phosphate, acidic']"
e542,Bone Phosphate,"A form of calcium phosphate derived from animal bones, used as an anticaking agent and mineral supplement.",uncertain,"If the bones are from non-halal slaughtered animals, then it is haram. If the bones are from halal slaughtered animals, then it is halal. Due to the uncertainty of the source, the ruling is uncertain.","['e542', 'bone phosphate', 'tribasic calcium phosphate', 'bone ash']"
e545,Ammonium Polyphosphate,A chemical compound used as a flame retardant and fertilizer. It is not typically used in food.,uncertain,"While ammonium polyphosphate itself is not typically used in food, its halal status would depend on the source and processing of its components. Without specific information, it is best to consider it uncertain.","['e545', 'ammonium polyphosphate']"
e550,Sodium Silicate,An anticaking agent used in food production.,halal,Sodium silicate is generally considered halal as it is a mineral compound and its production does not involve any haram substances.,"['e550', 'sodium silicate']"
e537,Sodium Tartrate,"A salt of tartaric acid, used as an antioxidant and acidity regulator in food.",halal,"Sodium tartrate is generally considered halal as it is derived from tartaric acid, a natural acid found in fruits, and its production does not involve any haram substances.","['e537', 'sodium tartrate']"
e541,Sodium Aluminium Phosphate,A food additive used as a leavening agent and acidity regulator.,halal,Sodium aluminium phosphate is generally considered halal as it is a mineral salt and its production does not involve any haram substances.,"['e541', 'sodium aluminium phosphate']"
e556,Potassium Aluminium Silicate,A food additive used as an anticaking agent.,halal,E556 is generally considered halal as it is a mineral-based additive and does not contain any animal-derived ingredients.,"['e556', 'potassium aluminium silicate']"
e557,Zinc Silicate,A food additive used as an anticaking agent.,halal,E557 is generally considered halal as it is a mineral-based additive and does not contain any animal-derived ingredients.,"['e557', 'zinc silicate']"
e553b,Magnesium Silicate,A food additive used as an anticaking agent.,halal,E553b is generally considered halal as it is a mineral-based additive and does not contain any animal-derived ingredients.,"['e553b', 'magnesium silicate', 'synthetic magnesium silicate']"
e555,Potassium Aluminium Silicate,A food additive used as an anticaking agent and a pigment.,halal,E555 is generally considered halal as it is a mineral-based additive and does not contain any animal-derived ingredients.,"['e555', 'potassium aluminium silicate', 'mica', 'potassium aluminum silicate']"
e559,Aluminium Silicate,A food additive used as an anticaking agent.,uncertain,"There is conflicting information regarding the Halal status of E559. Some sources state that it is Halal because it is a mineral, while others suggest uncertainty due to the manufacturing process and potential contamination.","['e559', 'aluminium silicate', 'aluminum silicate', 'kaolin']"
e554,Sodium Aluminosilicate,A food additive used as an anticaking agent.,halal,E554 is generally considered halal as it is a mineral-based additive and does not contain any animal-derived ingredients.,"['e554', 'sodium aluminosilicate', 'sodium aluminium silicate']"
e553a,Magnesium Silicate,A food additive used as an anticaking agent.,halal,E553a is generally considered halal as it is a mineral-based additive and does not contain any animal-derived ingredients.,"['e553a', 'magnesium silicate', 'e553(a)', 'e553(i)', 'e553(ii)', 'talc']"
e551,Silicon Dioxide,A food additive used as an anticaking agent.,halal,E551 is generally considered halal as it is a mineral-based additive and does not contain any animal-derived ingredients.,"['e551', 'silicon dioxide', 'silica']"
